Torna alla pagina con tutti i report della [[..:handset_report|Test Suite]].

^  SonyEricsson W850i  ^^^^
^TestSuite|//Version//||<nowiki>1.0.5</nowiki>|
^System|//Platform//|Name|<nowiki>SonyEricssonW850i/R1ED001</nowiki>|
^ ::: | ::: |Platform Type|true|
^ ::: |//IMEI//|IMEI|true|
^ ::: |//Memory//|Total memory|1572800|
^ ::: | ::: |Free memory|1418400|
^Environment|//CLDC//|Configuration|<nowiki>CLDC-1.1</nowiki>|
^ ::: | ::: |Char encoding|<nowiki>ISO-8859-1</nowiki>|
^ ::: |//MIDP//|JSR-118 (MIDP2.x) supported|true|
^ ::: | ::: |Profiles|<nowiki>MIDP-1.0 MIDP-2.0</nowiki>|
^ ::: | ::: |Locale|<nowiki>it</nowiki>|
^Graphics|//Screen//|Screen (full) height|320|
^ ::: | ::: |Screen (full) width|240|
^ ::: | ::: |Screen (normal) height|266|
^ ::: | ::: |Screen (normal) width|240|
^ ::: | ::: |Is Color|true|
^ ::: | ::: |Color Depth|65536|
^ ::: | ::: |Alpha Levels|256|
^ ::: | ::: |Screen buffered|true|
^ ::: |//Canvas//|Font Default Height|22|
^ ::: | ::: |Font Small Height|18|
^ ::: | ::: |Font Small Bold Height|18|
^ ::: | ::: |Font Medium Height|22|
^ ::: | ::: |Font Medium Bold Height|22|
^ ::: | ::: |Font Large Height|26|
^ ::: | ::: |Font Large Bold Height|26|
^ ::: |//Mobile Media//|JSR-135 MMAPI supported|true|
^ ::: | ::: |JSR-135 Video supported|true|
^ ::: | ::: |Mobile Media version|<nowiki>1.1</nowiki>|
^ ::: | ::: |Supports mixing|true|
^ ::: | ::: |Audio capture|true|
^ ::: | ::: |Video capture|true|
^ ::: | ::: |Supports recording|true|
^ ::: | ::: |Audio encoding|<nowiki>encoding=amr encoding=amr-nb</nowiki>|
^ ::: | ::: |Video encodings|<nowiki>encoding=h263&width=176&height=144</nowiki>|
^ ::: | ::: |Video snapshot encodings|<nowiki>encoding=jpeg&width=480&height=640</nowiki>|
^ ::: | ::: |Streamable contents|<nowiki>audio/x-pn-realaudio video/x-pn-realvideo audio/mp4a-latm video/mp4v-es video/h263-2000</nowiki>|
^ ::: |//Multimedia//|Capture|<nowiki>image/jpeg audio/amr video/h263-2000 video/3gpp video/mpeg4 video/mp4</nowiki>|
^ ::: | ::: |Device|<nowiki>audio/midi audio/mid audio/sp-midi audio/x-midi audio/x-tone-seq audio/tone</nowiki>|
^ ::: | ::: |File|<nowiki>audio/midi audio/mid audio/sp-midi audio/x-midi audio/x-tone-seq audio/tone audio/imelody audio/amr audio/amr-wb audio/mpeg audio/mp3 audio/x-mp3 audio/mpg audio/mpg3 audio/x-mpeg audio/x-mpg audio/x-wav audio/wav video/mp4v-es video/mpeg video/h263-2000 video/3gpp video/mpeg4 video/mp4 video/h264 audio/nokia_ringing_tones audio/mp4a-latm audio/3gp audio/mpeg4 audio/m4a audio/mp4 audio/3gpp audio/aac audio/x-m4a audio/xmf image/gif audio/x-pn-realaudio video/x-pn-realvideo audio/x-ms-wma video/x-ms-wmv</nowiki>|
^ ::: | ::: |HTTP|<nowiki>audio/midi audio/mid audio/sp-midi audio/x-midi audio/x-tone-seq audio/tone audio/imelody audio/amr audio/amr-wb audio/mpeg audio/mp3 audio/x-mp3 audio/mpg audio/mpg3 audio/x-mpeg audio/x-mpg audio/x-wav audio/wav video/mp4v-es video/mpeg video/h263-2000 video/3gpp video/mpeg4 video/mp4 video/h264 audio/nokia_ringing_tones audio/mp4a-latm audio/3gp audio/mpeg4 audio/m4a audio/mp4 audio/3gpp audio/aac audio/x-m4a audio/xmf image/gif video/x-pn-realvideo audio/x-pn-realaudio video/x-ms-wmv audio/x-ms-wma</nowiki>|
^ ::: | ::: |RTSP|<nowiki>video/mp4v-es video/mpeg video/h263-2000 video/3gpp video/mpeg4 video/mp4 video/h264 audio/mp4a-latm audio/3gp audio/mpeg4 audio/m4a audio/mp4 audio/3gpp audio/aac audio/x-m4a video/x-pn-realvideo audio/x-pn-realaudio video/x-ms-wmv audio/x-ms-wma</nowiki>|
^ ::: |//3D Graphics//|JSR-184 supported|true|
^ ::: | ::: |M3G version|<nowiki>1.0</nowiki>|
^ ::: | ::: |3D - max Lights|8|
^ ::: | ::: |3D - max Sprite Crop Dimension|1024|
^ ::: | ::: |3D - max Texture Dimension|256|
^ ::: | ::: |3D - max Transforms Per Vertex|3|
^ ::: | ::: |3D - max Viewport Dimension|1024|
^ ::: | ::: |3D - num Texture Units|2|
^ ::: | ::: |3D - support Antialiasing|false|
^ ::: | ::: |3D - support Dithering|false|
^ ::: | ::: |3D - support Local Camera Lighting|false|
^ ::: | ::: |3D - support Mipmapping|true|
^ ::: | ::: |3D - support Perspective Correction|true|
^ ::: | ::: |3D - support TrueColor|false|
^Comms|//Wireless Messaging//|JSR-120 (Messaging 1.1) supported|true|
^ ::: | ::: |JSR-205 (Messaging 2.0) supported|true|
^ ::: | ::: |MMSC Address|<nowiki>http://mmsc</nowiki>|
^ ::: | ::: |SMSC Address|9|
^ ::: |//Bluetooth//|JSR-082 Bluetooth supported|true|
^ ::: | ::: |JSR-082 OBEX supported|true|
^ ::: | ::: |Bluetooth version|<nowiki>1.0a</nowiki>|
^ ::: | ::: |The maximum ReceiveMTU size|672|
^ ::: | ::: |The maximum number of connected devices|7|
^ ::: | ::: |Is inquiry allowed during a connection|true|
^ ::: | ::: |Is paging allowed during a connection|true|
^ ::: | ::: |Is inquiry scanning allowed during a connection|false|
